,SibSp,Parch,EFare,Pclass_2,Pclass_3,Sex_male,ETicket_B,ETicket_C,ETicket_D,ETicket_E,ECabin_B,ECabin_C,ECabin_D,ECabin_E,ECabin_F,ECabin_n,ETitle_Miss,ETitle_Mr,ETitle_Mrs,ETitle_Rare,ETitle_Rev,Embarked_Q,Embarked_S
0,1,0,2.11021320035,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1,1,0,4.28059312046,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2,0,0,2.18885632767,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
3,1,0,3.99083418585,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
4,0,0,2.20276475771,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5,0,0,2.2468926629,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6,0,0,3.9676942028,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
7,3,1,3.09444574649,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8,0,2,2.49595373872,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
9,1,0,3.43626847138,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10,1,1,2.87356463958,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
11,0,0,3.3160025356,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
12,0,0,2.20276475771,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
13,1,5,3.47429293673,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
14,0,0,2.18089192272,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
15,0,0,2.83321334406,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
16,4,1,3.40535539181,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17,0,0,2.63905732962,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
18,1,0,2.94443897917,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
19,0,0,2.10717829665,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
20,0,0,3.295836866,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
